num_nodes,num_edges,density,avg_clustering,diameter,num_components,giant_component_size,avg_degree,max_betweenness,degree_centralization,avg_closeness,release,network_jaccard,nodes_added,nodes_removed,density_change,centralization_change,turnover_rate
154,302,0.025634496222731517,0.22516650158565077,6,72,0.538961038961039,3.9220779220779223,0.07576344713448711,0.7559774662423668,0.0,2.6.1,0.2163265306122449,48,61,0.004423905356271667,0.0379645125578989,0.3116883116883117
343,791,0.01348609619286311,0.2889866568419826,6,135,0.60932944606414,4.612244897959184,0.04869147307289973,0.7726868966839038,0.0,2.3.0,0.23922902494331066,189,0,-0.012148400029868407,0.016709430441536943,0.5510204081632653
140,350,0.03597122302158273,0.2797308495235192,6,50,0.65,5.0,0.06054950737662088,0.6985510204081633,0.0,2.6.3,0.16905737704918034,22,225,0.022485126828719622,-0.07413587627574048,0.15714285714285714
146,351,0.033160132262635804,0.26806490156472174,6,55,0.6301369863013698,4.808219178082192,0.06276492160928993,0.7099090660734495,0.0,2.7.2,0.9971509971509972,6,0,-0.0028110907589469283,0.011358045665286198,0.0410958904109589
111,217,0.03554463554463554,0.25198800539357813,7,40,0.6486486486486487,3.90990990990991,0.0784373856093498,0.6619753393946943,0.0,2.8.1,0.3819951338199513,0,35,0.002384503281999739,-0.04793372667875517,0.0
471,1033,0.009332791254460857,0.2585731189527062,6,199,0.5796178343949044,4.386411889596603,0.08257800228003719,0.7922424122842173,0.0,2.0.1,0.15207373271889402,360,0,-0.026211844290174688,0.130267072889523,0.7643312101910829
508,1157,0.00898445386634363,0.2677229085957454,6,212,0.5846456692913385,4.55511811023622,0.08127533487572387,0.7911684440482105,0.0,1.1.1,0.7450199203187251,37,0,-0.0003483373881172265,-0.001073968236006806,0.07283464566929133
494,1098,0.009016925212078409,0.260971231735465,6,206,0.5850202429149798,4.445344129554656,0.08377786585830346,0.7904821427254558,0.0,2.1.0,0.7741935483870968,11,25,3.247134573477854e-05,-0.0006863013227547121,0.022267206477732792
622,1414,0.007321455385204861,0.26999750639853953,6,260,0.5836012861736335,4.546623794212219,0.08648220435353766,0.7965157792765956,0.0,1.0.0,0.6354166666666666,128,0,-0.0016954698268735477,0.006033636551139754,0.2057877813504823
579,1274,0.0076136519831949846,0.2583692163273586,6,244,0.5803108808290155,4.400690846286701,0.06692834684459222,0.7953991481008504,0.0,1.0.1,0.8323108384458078,0,43,0.00029219659799012334,-0.0011166311757451197,0.0
550,1202,0.007961583043550257,0.25973844087481457,6,235,0.5745454545454546,4.370909090909091,0.06434407252510771,0.7975873544093179,0.0,2.0.0,0.8099415204678363,0,29,0.0003479310603552721,0.0021882063084674996,0.0
461,992,0.009355842686032255,0.2559780060059124,6,203,0.561822125813449,4.303687635574837,0.06905470267035461,0.7974249527674762,0.0,2.2.0,0.6459114778694673,0,89,0.0013942596424819983,-0.00016240164184178063,0.0
